YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-01,WEEKENDS/HOLIDAY,0,TRAIN,NS24/NE6/CC1,178,136
2026-01,WEEKDAY,9,TRAIN,NS3,30605,13486
2026-01,WEEKDAY,22,TRAIN,TE19,6532,1170
2026-01,WEEKDAY,5,TRAIN,NS28,63,8
2026-01,WEEKENDS/HOLIDAY,0,TRAIN,TE22,32,36
2026-01,WEEKDAY,19,TRAIN,PW2,350,197
2026-01,WEEKENDS/HOLIDAY,15,TRAIN,PE5,2845,2949
2026-01,WEEKENDS/HOLIDAY,12,TRAIN,NE12/CC13,33397,34206
2026-01,WEEKDAY,9,TRAIN,NS14,63202,18975
2026-01,WEEKDAY,17,TRAIN,EW15,128031,31548
2026-01,WEEKENDS/HOLIDAY,16,TRAIN,NE13,13421,12578
2026-01,WEEKENDS/HOLIDAY,8,TRAIN,DT24,2746,1515
2026-01,WEEKENDS/HOLIDAY,13,TRAIN,CC16,4474,2959
2026-01,WEEKENDS/HOLIDAY,6,TRAIN,EW32,2585,2763
2026-01,WEEKENDS/HOLIDAY,20,TRAIN,DT5,5730,8114
2026-01,WEEKENDS/HOLIDAY,21,TRAIN,TE11,968,2196
2026-01,WEEKDAY,11,TRAIN,CC27,5157,4794
2026-01,WEEKENDS/HOLIDAY,10,TRAIN,SW3,1669,641
2026-01,WEEKENDS/HOLIDAY,10,TRAIN,TE11,2479,1518
2026-01,WEEKDAY,21,TRAIN,NS5,13535,40023
2026-01,WEEKENDS/HOLIDAY,21,TRAIN,TE6,2105,8422
2026-01,WEEKDAY,19,TRAIN,TE13,6426,4765
2026-01,WEEKDAY,18,TRAIN,EW3,31959,55041
2026-01,WEEKDAY,8,TRAIN,CC16,19844,21955
2026-01,WEEKDAY,13,TRAIN,PE6,8815,10172
2026-01,WEEKDAY,12,TRAIN,NS16,38531,35197
2026-01,WEEKENDS/HOLIDAY,21,TRAIN,EW20,3062,6214
2026-01,WEEKENDS/HOLIDAY,21,TRAIN,DT6,1015,2406
2026-01,WEEKENDS/HOLIDAY,9,TRAIN,NS4/BP1,18246,13460
2026-01,WEEKENDS/HOLIDAY,20,TRAIN,DT18,3077,2768
2026-01,WEEKDAY,9,TRAIN,TE14/NS22,24515,128869
2026-01,WEEKENDS/HOLIDAY,19,TRAIN,NS27/CE2/TE20,2178,2759
2026-01,WEEKENDS/HOLIDAY,5,TRAIN,NS13,6647,1012
2026-01,WEEKDAY,21,TRAIN,DT24,2486,7236
2026-01,WEEKDAY,18,TRAIN,CC11,98882,23278
2026-01,WEEKENDS/HOLIDAY,21,TRAIN,PW4,1648,2041
2026-01,WEEKDAY,13,TRAIN,BP13,1681,1574
2026-01,WEEKDAY,19,TRAIN,CC27,25003,2691
2026-01,WEEKDAY,6,TRAIN,BP11,14000,1113
2026-01,WEEKDAY,5,TRAIN,SW1,325,189
2026-01,WEEKDAY,17,TRAIN,NS15,73736,24431
2026-01,WEEKENDS/HOLIDAY,9,TRAIN,DT8,2525,1613
2026-01,WEEKDAY,5,TRAIN,PE2,2567,199
2026-01,WEEKENDS/HOLIDAY,21,TRAIN,CC3,7549,1254
2026-01,WEEKENDS/HOLIDAY,23,TRAIN,EW4,794,4453
2026-01,WEEKDAY,23,TRAIN,EW6,1221,5916
2026-01,WEEKDAY,8,TRAIN,BP5,4634,2716
2026-01,WEEKDAY,15,TRAIN,CC8,11038,6233
2026-01,WEEKENDS/HOLIDAY,13,TRAIN,NS10,20765,15923
2026-01,WEEKDAY,14,TRAIN,EW21/CC22,22908,19899
2026-01,WEEKDAY,15,TRAIN,NS24/NE6/CC1,39595,34468
2026-01,WEEKDAY,18,TRAIN,EW12/DT14,162229,123394
2026-01,WEEKENDS/HOLIDAY,8,TRAIN,SW8,1110,452
2026-01,WEEKENDS/HOLIDAY,22,TRAIN,NE4/DT19,22323,9390
2026-01,WEEKENDS/HOLIDAY,12,TRAIN,EW19,10701,6793
2026-01,WEEKENDS/HOLIDAY,13,TRAIN,DT24,2547,1927
2026-01,WEEKDAY,11,TRAIN,TE5,5273,2954
2026-01,WEEKDAY,23,TRAIN,TE23,934,990
2026-01,WEEKDAY,10,TRAIN,EW19,18803,7915
2026-01,WEEKENDS/HOLIDAY,5,TRAIN,DT28,561,45
2026-01,WEEKENDS/HOLIDAY,8,TRAIN,DT3,3877,2168
2026-01,WEEKENDS/HOLIDAY,16,TRAIN,BP2,1035,972
2026-01,WEEKDAY,0,TRAIN,EW21/CC22,245,617
2026-01,WEEKDAY,23,TRAIN,NE7/DT12,5983,5239
2026-01,WEEKENDS/HOLIDAY,17,TRAIN,SW4,1991,2051
2026-01,WEEKENDS/HOLIDAY,20,TRAIN,TE14/NS22,54466,19420
2026-01,WEEKENDS/HOLIDAY,23,TRAIN,NE18,693,1560
2026-01,WEEKDAY,11,TRAIN,TE19,9351,11881
2026-01,WEEKDAY,10,TRAIN,EW5,31996,20947
2026-01,WEEKENDS/HOLIDAY,13,TRAIN,EW23,28328,25730
2026-01,WEEKDAY,15,TRAIN,TE8,8796,10090
2026-01,WEEKENDS/HOLIDAY,12,TRAIN,PW5,1749,1232
2026-01,WEEKDAY,19,TRAIN,TE27,4270,14220
2026-01,WEEKENDS/HOLIDAY,12,TRAIN,BP2,1492,833
2026-01,WEEKDAY,21,TRAIN,SW2,3420,4309
2026-01,WEEKENDS/HOLIDAY,16,TRAIN,PE7,1883,2055
2026-01,WEEKDAY,12,TRAIN,DT25,3021,2810
2026-01,WEEKENDS/HOLIDAY,14,TRAIN,NS2,14091,14349
2026-01,WEEKENDS/HOLIDAY,13,TRAIN,SE4,2239,1897
2026-01,WEEKDAY,14,TRAIN,EW16/NE3/TE17,31504,40792
2026-01,WEEKENDS/HOLIDAY,8,TRAIN,CG1/DT35,1275,4991
2026-01,WEEKENDS/HOLIDAY,18,TRAIN,NS16,21235,29612
2026-01,WEEKDAY,18,TRAIN,NS3,24252,66308
2026-01,WEEKENDS/HOLIDAY,6,TRAIN,NS3,7537,2568
2026-01,WEEKDAY,23,TRAIN,DT21,3930,2564
2026-01,WEEKENDS/HOLIDAY,21,TRAIN,NS17/CC15,6754,11444
2026-01,WEEKENDS/HOLIDAY,17,TRAIN,BP11,1546,1543
2026-01,WEEKDAY,22,TRAIN,PW1,907,134
2026-01,WEEKDAY,19,TRAIN,EW20,19612,22828
2026-01,WEEKENDS/HOLIDAY,6,TRAIN,EW30,866,1786
2026-01,WEEKDAY,8,TRAIN,EW22,17146,57340
2026-01,WEEKENDS/HOLIDAY,5,TRAIN,TE11,45,5
2026-01,WEEKENDS/HOLIDAY,5,TRAIN,DT13,123,23
2026-01,WEEKENDS/HOLIDAY,16,TRAIN,EW28,14162,12582
2026-01,WEEKDAY,5,TRAIN,EW25,9881,526
2026-01,WEEKENDS/HOLIDAY,11,TRAIN,EW24/NS1,21959,45548
2026-01,WEEKDAY,23,TRAIN,TE27,487,3047
2026-01,WEEKENDS/HOLIDAY,9,TRAIN,TE24,2137,984
2026-01,WEEKDAY,12,TRAIN,EW24/NS1,47704,65432
2026-01,WEEKDAY,21,TRAIN,TE5,4985,7563
2026-01,WEEKENDS/HOLIDAY,5,TRAIN,TE15,26,10
2026-01,WEEKDAY,15,TRAIN,CG1/DT35,14987,8501
2026-01,WEEKENDS/HOLIDAY,16,TRAIN,NS2,13603,16376
2026-01,WEEKENDS/HOLIDAY,0,TRAIN,NE13,115,709
2026-01,WEEKDAY,15,TRAIN,CC25,5541,4892
2026-01,WEEKENDS/HOLIDAY,6,TRAIN,PW6,329,32
2026-01,WEEKENDS/HOLIDAY,0,TRAIN,SE1,29,273
2026-01,WEEKDAY,19,TRAIN,BP10,2158,8900
2026-01,WEEKENDS/HOLIDAY,23,TRAIN,TE12,444,327
2026-01,WEEKDAY,23,TRAIN,CC24,2428,1215
2026-01,WEEKENDS/HOLIDAY,13,TRAIN,CC17/TE9,3050,2797
2026-01,WEEKDAY,7,TRAIN,TE29,11709,3275
2026-01,WEEKENDS/HOLIDAY,18,TRAIN,CC27,1216,948
2026-01,WEEKENDS/HOLIDAY,8,TRAIN,EW20,5434,5307
2026-01,WEEKENDS/HOLIDAY,14,TRAIN,TE3,5556,4389
2026-01,WEEKENDS/HOLIDAY,18,TRAIN,EW2/DT32,32722,39682
2026-01,WEEKDAY,11,TRAIN,NE11,12483,10621
2026-01,WEEKDAY,22,TRAIN,NS13,22945,62299
2026-01,WEEKENDS/HOLIDAY,0,TRAIN,SW3,5,141
2026-01,WEEKDAY,7,TRAIN,NS13,170588,55259
2026-01,WEEKENDS/HOLIDAY,7,TRAIN,EW18,4429,5681
2026-01,WEEKENDS/HOLIDAY,0,TRAIN,CC12,30,204
2026-01,WEEKDAY,5,TRAIN,SW3,1518,88
2026-01,WEEKENDS/HOLIDAY,8,TRAIN,BP4,853,411
2026-01,WEEKENDS/HOLIDAY,12,TRAIN,NS12,13066,7616
2026-01,WEEKENDS/HOLIDAY,0,TRAIN,TE28,1,239
2026-01,WEEKENDS/HOLIDAY,14,TRAIN,CC11,8097,5721
2026-01,WEEKDAY,20,TRAIN,EW8/CC9,61541,40813
2026-01,WEEKDAY,8,TRAIN,NE18,20706,50889
2026-01,WEEKDAY,11,TRAIN,PW2,252,227
2026-01,WEEKDAY,9,TRAIN,DT23,4548,18852
2026-01,WEEKDAY,11,TRAIN,NE5,8887,14646
2026-01,WEEKENDS/HOLIDAY,19,TRAIN,EW6,4369,7660
2026-01,WEEKDAY,11,TRAIN,NE13,23235,14920
2026-01,WEEKDAY,11,TRAIN,EW31,1919,987
2026-01,WEEKDAY,13,TRAIN,NS21/DT11,53252,61271
2026-01,WEEKDAY,7,TRAIN,BP8,5374,6080
2026-01,WEEKDAY,8,TRAIN,EW4,49789,24246
2026-01,WEEKENDS/HOLIDAY,19,TRAIN,SW3,781,1406
2026-01,WEEKDAY,13,TRAIN,NE17/PTC,46312,46448
2026-01,WEEKENDS/HOLIDAY,17,TRAIN,DT10,2312,1644
2026-01,WEEKDAY,12,TRAIN,NE10,17374,12420
2026-01,WEEKDAY,9,TRAIN,EW31,1589,5010
2026-01,WEEKENDS/HOLIDAY,13,TRAIN,NS2,15724,14194
2026-01,WEEKDAY,20,TRAIN,NS4/BP1,28609,57821
2026-01,WEEKDAY,22,TRAIN,NE12/CC13,30080,52581
2026-01,WEEKENDS/HOLIDAY,20,TRAIN,NS8,6791,8840
2026-01,WEEKENDS/HOLIDAY,19,TRAIN,BP13,361,519
2026-01,WEEKDAY,8,TRAIN,DT22,19324,13004
2026-01,WEEKENDS/HOLIDAY,16,TRAIN,CC10/DT26,8874,7869
2026-01,WEEKDAY,10,TRAIN,TE19,3212,23179
2026-01,WEEKDAY,16,TRAIN,NS28,3941,3792
2026-01,WEEKENDS/HOLIDAY,20,TRAIN,BP4,398,914
2026-01,WEEKDAY,5,TRAIN,BP6/DT1,13504,10474
2026-01,WEEKENDS/HOLIDAY,8,TRAIN,PW6,1035,233
2026-01,WEEKDAY,17,TRAIN,CC10/DT26,44267,23161
2026-01,WEEKENDS/HOLIDAY,16,TRAIN,CC21,5816,5294
2026-01,WEEKDAY,9,TRAIN,TE16,12358,9815
2026-01,WEEKENDS/HOLIDAY,10,TRAIN,NE5,3222,8390
2026-01,WEEKDAY,14,TRAIN,TE22,2457,4909
2026-01,WEEKDAY,21,TRAIN,TE3,9446,13747
2026-01,WEEKDAY,12,TRAIN,CC3,5307,7827
2026-01,WEEKENDS/HOLIDAY,9,TRAIN,TE1,2379,1402
2026-01,WEEKENDS/HOLIDAY,12,TRAIN,EW23,28365,23106
2026-01,WEEKENDS/HOLIDAY,20,TRAIN,EW14/NS26,13271,6975
2026-01,WEEKDAY,14,TRAIN,EW17,23482,24509
2026-01,WEEKENDS/HOLIDAY,13,TRAIN,EW6,6371,6016
2026-01,WEEKENDS/HOLIDAY,12,TRAIN,TE26,9220,9370
2026-01,WEEKDAY,23,TRAIN,EW7,1523,7782
2026-01,WEEKDAY,23,TRAIN,DT7,482,1198
2026-01,WEEKDAY,0,TRAIN,BP9,0,1
2026-01,WEEKENDS/HOLIDAY,9,TRAIN,EW7,9278,6181
2026-01,WEEKENDS/HOLIDAY,14,TRAIN,CC2,2362,2412
2026-01,WEEKENDS/HOLIDAY,8,TRAIN,CC27,292,1408
2026-01,WEEKENDS/HOLIDAY,5,TRAIN,EW11,471,49
2026-01,WEEKDAY,7,TRAIN,CG1/DT35,3123,33651
2026-01,WEEKENDS/HOLIDAY,5,TRAIN,CC24,56,70
2026-01,WEEKENDS/HOLIDAY,15,TRAIN,NS25/EW13,41082,39692
2026-01,WEEKDAY,17,TRAIN,NS18,24490,23510
2026-01,WEEKDAY,21,TRAIN,NS11,20079,57998
