"","stn_name","EWL","NSL","NEL","CCL","DTL","PGLRT","SKLRT","BPLRT","TEL","total_in","total_out","total_sum"
"166","Toa Payoh",0,1,0,0,0,0,0,0,0,148608,113770,262378
"167","Tongkang",0,0,0,0,0,0,1,0,0,12024,2527,14551
"168","Tuas Crescent",1,0,0,0,0,0,0,0,0,4803,29177,33980
"169","Tuas Link",1,0,0,0,0,0,0,0,0,14918,18529,33447
"170","Tuas West Road",1,0,0,0,0,0,0,0,0,5772,31886,37658
"171","Ubi",0,0,0,0,1,0,0,0,0,32579,55678,88257
"172","Upper Changi",0,0,0,0,1,0,0,0,0,24833,18936,43769
"173","Upper Thomson",0,0,0,0,0,0,0,0,1,33202,26484,59686
"174","Woodlands",0,1,0,0,0,0,0,0,1,202573,128637,331210
"175","Woodlands North",0,0,0,0,0,0,0,0,1,14795,74670,89465
"176","Woodlands South",0,0,0,0,0,0,0,0,1,53266,27809,81075
"177","Woodleigh",0,0,1,0,0,0,0,0,0,61134,40969,102103
"178","Yew Tee",0,1,0,0,0,0,0,0,0,130349,39206,169555
"179","Yio Chu Kang",0,1,0,0,0,0,0,0,0,54546,138333,192879
"180","Yishun",0,1,0,0,0,0,0,0,0,215655,82590,298245
"181","one-north",0,0,0,1,0,0,0,0,0,8801,175619,184420
