"","stn_name","EWL","NSL","NEL","CCL","DTL","PGLRT","SKLRT","BPLRT","TEL","total_in","total_out","total_sum"
"164","Thanggam",0,0,0,0,0,0,1,0,0,2692,2685,5376
"165","Tiong Bahru",1,0,0,0,0,0,0,0,0,18845,20226,39071
"166","Toa Payoh",0,1,0,0,0,0,0,0,0,29114,29968,59082
"167","Tongkang",0,0,0,0,0,0,1,0,0,2068,1877,3945
"168","Tuas Crescent",1,0,0,0,0,0,0,0,0,3516,2852,6368
"169","Tuas Link",1,0,0,0,0,0,0,0,0,4982,4371,9354
"170","Tuas West Road",1,0,0,0,0,0,0,0,0,5039,5270,10308
"171","Ubi",0,0,0,0,1,0,0,0,0,6964,6958,13922
"172","Upper Changi",0,0,0,0,1,0,0,0,0,3328,3158,6487
"173","Upper Thomson",0,0,0,0,0,0,0,0,1,9678,8909,18586
"174","Woodlands",0,1,0,0,0,0,0,0,1,47270,54348,101618
"175","Woodlands North",0,0,0,0,0,0,0,0,1,4195,3677,7873
"176","Woodlands South",0,0,0,0,0,0,0,0,1,8572,7807,16380
"177","Woodleigh",0,0,1,0,0,0,0,0,0,12082,12254,24336
"178","Yew Tee",0,1,0,0,0,0,0,0,0,22450,22395,44844
"179","Yio Chu Kang",0,1,0,0,0,0,0,0,0,10893,9918,20810
"180","Yishun",0,1,0,0,0,0,0,0,0,41253,43745,84997
"181","one-north",0,0,0,1,0,0,0,0,0,3304,3174,6478
