"","stn_name","EWL","NSL","NEL","CCL","DTL","PGLRT","SKLRT","BPLRT","TEL","total_in","total_out","total_sum"
"167","Tongkang",0,0,0,0,0,0,1,0,0,2819,2506,5326
"168","Tuas Crescent",1,0,0,0,0,0,0,0,0,5452,4873,10325
"169","Tuas Link",1,0,0,0,0,0,0,0,0,6380,5704,12084
"170","Tuas West Road",1,0,0,0,0,0,0,0,0,6095,5821,11916
"171","Ubi",0,0,0,0,1,0,0,0,0,11026,10922,21949
"172","Upper Changi",0,0,0,0,1,0,0,0,0,6068,5300,11367
"173","Upper Thomson",0,0,0,0,0,0,0,0,1,10041,9859,19900
"174","Woodlands",0,1,0,0,0,0,0,0,1,57387,70126,127513
"175","Woodlands North",0,0,0,0,0,0,0,0,1,10721,8856,19576
"176","Woodlands South",0,0,0,0,0,0,0,0,1,14274,13242,27515
"177","Woodleigh",0,0,1,0,0,0,0,0,0,15765,16237,32002
"178","Yew Tee",0,1,0,0,0,0,0,0,0,31667,30198,61866
"179","Yio Chu Kang",0,1,0,0,0,0,0,0,0,25282,23607,48889
"180","Yishun",0,1,0,0,0,0,0,0,0,52304,56851,109155
"181","one-north",0,0,0,1,0,0,0,0,0,17116,16998,34115
